City ID,City Name,Lon,Lat,Weather ID,Weather Main,Temperature (K),Humidity (%),Visibility (m),Wind Speed (m/s),Clouds (%),Date (Unix),Timezone (s)
833,Ḩeşār-e Sefīd,47.1594,34.3305,800,Clear,310.17,1,10000,5.14,0,2023-09-08 12:36:09,2023-09-08 21:36:09
2960,‘Ayn Ḩalāqīm,36.3219,34.9401,800,Clear,305.76,21,10000,6.21,0,2023-09-08 12:36:09,2023-09-08 21:36:09
3245,Taglag,44.9833,38.45,800,Clear,305.31,19,10000,3.44,0,2023-09-08 12:36:10,2023-09-08 21:36:10
3530,Qabāghlū,46.1685,36.1733,800,Clear,303.58,7,10000,7.56,0,2023-09-08 12:36:11,2023-09-08 21:36:11
5174,‘Arīqah,36.4834,32.8898,800,Clear,309.08,11,10000,7.05,0,2023-09-08 12:36:11,2023-09-08 21:36:11
7264,Kalāteh-ye Dowlat,57.617,36.1638,801,Clouds,311.2,14,10000,5.14,20,2023-09-08 12:36:12,2023-09-08 21:36:12
8084,Behjatābād,51.4616,36.6674,804,Clouds,299.16,83,10000,1.03,100,2023-09-08 12:36:13,2023-09-08 21:36:13
9874,Ţālesh Maḩalleh,50.6792,36.8943,804,Clouds,296.07,94,10000,3.09,100,2023-09-08 12:36:13,2023-09-08 21:36:13
11263,Shahrīār Kandeh,53.199,36.6319,801,Clouds,305.11,45,10000,6.17,20,2023-09-08 12:36:14,2023-09-08 21:36:14
11754,Bālā Aḩmad Kolā,52.6673,36.6491,802,Clouds,305.32,61,10000,3.47,34,2023-09-08 12:36:14,2023-09-08 21:36:14
12795,Aş Şūrah aş Şaghīrah,36.5739,33.0327,800,Clear,310.33,10,10000,8.18,0,2023-09-08 12:36:15,2023-09-08 21:36:15
14177,Āqdūz,44.2656,39.1975,800,Clear,298.56,17,10000,5.83,0,2023-09-08 12:36:15,2023-09-08 21:36:15
14256,Āzādshahr,48.5707,34.7909,800,Clear,305.42,3,10000,4.12,0,2023-09-08 12:36:16,2023-09-08 21:36:16
18007,Gollar,46.25,37.3833,801,Clouds,305.32,14,10000,2.06,20,2023-09-08 12:36:16,2023-09-08 21:36:16
18093,Dīgāleh,45.107,37.5525,800,Clear,304.09,19,10000,3.09,0,2023-09-08 12:36:17,2023-09-08 21:36:17
