City ID,City Name,Lon,Lat,Weather ID,Weather Main,Temperature (K),Humidity (%),Visibility (m),Wind Speed (m/s),Clouds (%),Date (Unix),Timezone (s)
1832008,Tokusan-ri,128.7,35.1333,801,Clouds,299.14,80,10000,1.74,11,2023-09-11 10:25:04,2023-09-11 19:25:04
1832015,Heunghae,129.3522,36.1125,800,Clear,296.44,87,10000,0.76,9,2023-09-11 10:25:04,2023-09-11 19:25:04
1832157,Reisui,127.7378,34.7442,800,Clear,297.54,77,10000,2.06,3,2023-09-11 10:25:05,2023-09-11 19:25:05
1832215,Yeonil,129.345,35.9942,800,Clear,296.22,88,10000,0.96,4,2023-09-11 10:25:05,2023-09-11 19:25:05
1832257,Neietsu,128.4682,37.1845,803,Clouds,293.21,83,10000,0.21,57,2023-09-11 10:25:06,2023-09-11 19:25:06
1832384,Yeongju,128.6308,36.8217,803,Clouds,296.06,82,10000,0.87,64,2023-09-11 10:25:07,2023-09-11 19:25:07
1832427,Yongin,127.2064,37.2342,800,Clear,298.33,78,10000,0.51,0,2023-09-11 10:25:03,2023-09-11 19:25:03
1832501,Yeonggwang,126.5094,35.275,803,Clouds,297.96,80,10000,1.48,63,2023-09-11 10:25:08,2023-09-11 19:25:08
1832566,Yeongdong,127.7764,36.175,804,Clouds,298.47,82,10000,0.62,96,2023-09-11 10:25:08,2023-09-11 19:25:08
1832384,Yeongju,128.6308,36.8217,803,Clouds,296.06,82,10000,0.87,64,2023-09-11 10:25:07,2023-09-11 19:25:07
1832663,Yeongam-guncheong,126.7,34.7983,802,Clouds,298.05,79,10000,0.92,36,2023-09-11 10:25:09,2023-09-11 19:25:09
1832697,Yeoncheon-gun,127.0758,38.094,802,Clouds,298.34,80,10000,1.1,38,2023-09-11 10:25:10,2023-09-11 19:25:10
1832743,Yeoju,127.6339,37.2958,800,Clear,295.61,94,10000,0.0,0,2023-09-11 10:21:10,2023-09-11 19:21:10
1832771,Yesan,126.8427,36.6776,803,Clouds,297.98,84,10000,1.17,62,2023-09-11 10:25:11,2023-09-11 19:25:11
1832798,Yecheon,128.4569,36.6556,802,Clouds,296.55,80,10000,1.27,49,2023-09-11 10:25:11,2023-09-11 19:25:11
1832809,Yangyang,128.6211,38.0739,803,Clouds,296.48,83,10000,2.06,75,2023-09-11 10:25:12,2023-09-11 19:25:12
1832828,Yangsan,129.0386,35.3386,801,Clouds,299.11,73,10000,1.54,20,2023-09-11 10:25:12,2023-09-11 19:25:12
1832830,Yangp'yŏng,127.4906,37.4897,800,Clear,295.82,94,10000,0.0,0,2023-09-11 10:25:13,2023-09-11 19:25:13
1832847,Yangju,127.0617,37.8331,803,Clouds,298.25,67,10000,1.42,62,2023-09-11 10:22:49,2023-09-11 19:22:49
1787601,Yanggu,115.7753,36.1106,804,Clouds,299.38,76,10000,0.97,100,2023-09-11 10:25:14,2023-09-11 19:25:14
